file,kind,direction,experiment_id,contact_id,readable,error,n_samples,nan_frac,duration_s,fs_est_hz,monotonic_time,n_dup_timestamps,dt_offgrid_frac,value_rms,value_min,value_max,spike_frac_z6,max_const_run
A66_p1.txt,segment,A,66,1.0,True,,173255,0.0,3.465079999999997,50000.000001892884,True,0,0.0,29.501608089270693,-194.757004,188.417984,2.3087356786239934e-05,4
A66_p2.txt,segment,A,66,2.0,True,,164538,0.0,3.2907399999999996,50000.000001892884,True,0,0.0,29.09775783035539,-265.470764,225.635757,7.90091042798624e-05,3
A66_p3.txt,segment,A,66,3.0,True,,135145,0.0,2.7028800000000004,50000.000001892884,True,0,0.0,31.5997970688157,-110.764893,110.476761,0.0,3
A66_p4.txt,segment,A,66,4.0,True,,119675,0.0,2.3934799999999967,50000.000001892884,True,0,0.0,29.820780076046198,-115.495155,112.253609,0.0,3
A66_p5.txt,segment,A,66,5.0,True,,107628,0.0,2.152540000000002,50000.000001892884,True,0,0.0,24.642481468051834,-101.496468,107.307243,0.0,3
A66_p6.txt,segment,A,66,6.0,True,,104089,0.0,2.0817600000000027,50000.000001892884,True,0,0.0,22.969567648649193,-145.293381,117.992348,9.607163100807963e-06,4
A67_p1.txt,segment,A,67,1.0,True,,172508,0.0,3.4501399999999975,50000.000001892884,True,0,0.0,36.19086843396506,-206.522629,218.8405,5.796832610661535e-06,5
A67_p2.txt,segment,A,67,2.0,True,,152447,0.0,3.0489200000000025,50000.000001892884,True,0,0.0,29.526231593208966,-207.915283,208.347504,5.90369111888066e-05,2
A67_p3.txt,segment,A,67,3.0,True,,311410,0.0,6.228180000000002,50000.000001892884,True,0,0.0,18.964459752653365,-135.976929,149.615448,0.00022478404675508172,3
A67_p4.txt,segment,A,67,4.0,True,,110485,0.0,2.209680000000006,50000.000001892884,True,0,0.0,28.513059857205317,-165.775162,203.737289,9.051002398515636e-06,2
A67_p5.txt,segment,A,67,5.0,True,,119009,0.0,2.3801600000000036,49999.99998412932,True,0,0.0,27.487807602917098,-164.526566,137.00943,0.0,2
A67_p6.txt,segment,A,67,6.0,True,,116949,0.0,2.33896,49999.99998412932,True,0,0.0,25.02055786547569,-181.550705,159.940384,5.13044147448888e-05,2
A68_p1.txt,segment,A,68,1.0,True,,172150,0.0,3.4429799999999986,50000.000001892884,True,0,0.0,37.478551641769194,-268.304138,204.745773,1.1617775196049956e-05,2
A68_p2.txt,segment,A,68,2.0,True,,149502,0.0,2.9900200000000012,50000.000001892884,True,0,0.0,33.88353222660401,-207.819244,201.744339,6.688873727441773e-06,2
A68_p3.txt,segment,A,68,3.0,True,,134987,0.0,2.6997200000000063,50000.000001892884,True,0,0.0,32.9418374440143,-195.237228,234.111801,7.4081207820012295e-06,2
A68_p4.txt,segment,A,68,4.0,True,,132682,0.0,2.6536199999999965,50000.000001892884,True,0,0.0,31.542017433274037,-335.728333,245.925446,0.00031654632881626747,2
A68_p5.txt,segment,A,68,5.0,True,,104865,0.0,2.097280000000005,50000.000001892884,True,0,0.0,34.81794119821897,-184.816254,219.993057,1.9072140370953132e-05,2
A68_p6.txt,segment,A,68,6.0,True,,118667,0.0,2.3733199999999925,49999.99998412932,True,0,0.0,32.433609230099755,-323.362427,297.766205,0.000632020696571077,2
A69_p1.txt,segment,A,69,1.0,True,,159678,0.0,3.1935399999999987,50000.000001892884,True,0,0.0,45.458661786880825,-246.645782,206.570648,0.0,3
A69_p2.txt,segment,A,69,2.0,True,,148439,0.0,2.968760000000003,50000.000001892884,True,0,0.0,42.01195843134505,-217.759995,226.596207,0.0,2
A69_p3.txt,segment,A,69,3.0,True,,128690,0.0,2.5737799999999993,50000.000001892884,True,0,0.0,40.46852914700302,-217.615921,235.144287,0.0,2
A69_p4.txt,segment,A,69,4.0,True,,108780,0.0,2.1755799999999965,50000.000001892884,True,0,0.0,42.19594880631553,-225.755814,233.751633,0.0,2
A69_p5.txt,segment,A,69,5.0,True,,95736,0.0,1.9147000000000034,50000.000001892884,True,0,0.0,40.76899470477482,-242.035583,214.662506,0.0,2
A69_p6.txt,segment,A,69,6.0,True,,81275,0.0,1.6254800000000031,50000.000001892884,True,0,0.0,43.892198513922715,-237.113235,231.446533,0.0,2
A70_p1.txt,segment,A,70,1.0,True,,157942,0.0,3.158820000000002,50000.000001892884,True,0,0.0,27.453498913510888,-113.214066,110.932976,0.0,3
A70_p2.txt,segment,A,70,2.0,True,,141521,0.0,2.8303999999999974,50000.000001892884,True,0,0.0,30.516017106146247,-125.123756,127.404839,0.0,3
A70_p3.txt,segment,A,70,3.0,True,,123391,0.0,2.467800000000004,50000.000001892884,True,0,0.0,32.70744594001721,-131.414764,106.27475,0.0,3
