model,experiment_order,RUL_mean,RUL_std,RUL_q025,RUL_q16,RUL_q84,RUL_q975,n_members_crossing,n_members_total,RUL_units
Poly2(t),1.0,9.781480000000007,0.11713671328836245,9.57000000000001,9.65000000000001,9.90000000000001,10.000000000000009,500,500,experiment_order_steps
Poly2(t),2.0,8.781480000000007,0.11713671328836245,8.57000000000001,8.65000000000001,8.90000000000001,9.000000000000009,500,500,experiment_order_steps
Poly2(t),3.0,7.78148000000001,0.11713671328836245,7.570000000000009,7.650000000000009,7.900000000000009,8.000000000000009,500,500,experiment_order_steps
Poly2(t),4.0,6.781480000000009,0.11713671328836246,6.570000000000009,6.650000000000009,6.900000000000009,7.000000000000009,500,500,experiment_order_steps
Poly2(t),5.0,5.781480000000009,0.11713671328836246,5.570000000000009,5.650000000000009,5.900000000000009,6.000000000000009,500,500,experiment_order_steps
Poly2(t),6.0,4.781480000000009,0.11713671328836246,4.570000000000009,4.650000000000009,4.900000000000009,5.000000000000009,500,500,experiment_order_steps
Poly2(t),7.0,3.7814800000000086,0.11713671328836246,3.570000000000009,3.6500000000000092,3.9000000000000092,4.000000000000009,500,500,experiment_order_steps
Poly2(t),8.0,2.7814800000000086,0.11713671328836246,2.570000000000009,2.6500000000000092,2.9000000000000092,3.000000000000009,500,500,experiment_order_steps
Poly2(t),9.0,1.7814800000000086,0.11713671328836246,1.5700000000000092,1.6500000000000092,1.9000000000000092,2.000000000000009,500,500,experiment_order_steps
Poly2(t),10.0,0.7814800000000086,0.11713671328836246,0.5700000000000092,0.6500000000000092,0.9000000000000092,1.0000000000000089,500,500,experiment_order_steps
Linear(t),1.0,10.87890000000001,0.32983600470536895,10.250000000000009,10.55000000000001,11.240000000000009,11.49000000000001,500,500,experiment_order_steps
Linear(t),2.0,9.87890000000001,0.32983600470536895,9.250000000000009,9.55000000000001,10.240000000000009,10.49000000000001,500,500,experiment_order_steps
Linear(t),3.0,8.87890000000001,0.32983600470536895,8.250000000000009,8.55000000000001,9.240000000000009,9.49000000000001,500,500,experiment_order_steps
Linear(t),4.0,7.87890000000001,0.32983600470536895,7.250000000000009,7.55000000000001,8.240000000000009,8.49000000000001,500,500,experiment_order_steps
Linear(t),5.0,6.87890000000001,0.32983600470536895,6.250000000000009,6.55000000000001,7.240000000000009,7.490000000000011,500,500,experiment_order_steps
Linear(t),6.0,5.87890000000001,0.32983600470536895,5.250000000000009,5.55000000000001,6.240000000000009,6.490000000000011,500,500,experiment_order_steps
Linear(t),7.0,4.878900000000009,0.32983600470536895,4.250000000000009,4.55000000000001,5.240000000000009,5.490000000000011,500,500,experiment_order_steps
Linear(t),8.0,3.8789000000000096,0.32983600470536895,3.250000000000009,3.5500000000000096,4.240000000000009,4.490000000000011,500,500,experiment_order_steps
Linear(t),9.0,2.8789000000000096,0.32983600470536895,2.250000000000009,2.5500000000000096,3.240000000000009,3.490000000000011,500,500,experiment_order_steps
Linear(t),10.0,1.8789000000000098,0.32983600470536895,1.2500000000000089,1.5500000000000096,2.240000000000009,2.490000000000011,500,500,experiment_order_steps
PINN_mono,1.0,10.335000000000008,0.0800312438988675,10.23675000000001,10.264400000000009,10.410000000000009,10.472000000000008,10,10,experiment_order_steps
PINN_mono,2.0,9.335000000000008,0.0800312438988675,9.23675000000001,9.264400000000009,9.410000000000009,9.472000000000008,10,10,experiment_order_steps
PINN_mono,3.0,8.335000000000008,0.0800312438988675,8.23675000000001,8.264400000000009,8.410000000000009,8.472000000000008,10,10,experiment_order_steps
PINN_mono,4.0,7.33500000000001,0.0800312438988675,7.23675000000001,7.264400000000008,7.410000000000009,7.472000000000009,10,10,experiment_order_steps
PINN_mono,5.0,6.33500000000001,0.0800312438988675,6.23675000000001,6.264400000000008,6.410000000000009,6.472000000000009,10,10,experiment_order_steps
PINN_mono,6.0,5.33500000000001,0.0800312438988675,5.23675000000001,5.264400000000008,5.410000000000009,5.472000000000009,10,10,experiment_order_steps
PINN_mono,7.0,4.33500000000001,0.0800312438988675,4.23675000000001,4.264400000000008,4.410000000000009,4.472000000000009,10,10,experiment_order_steps
PINN_mono,8.0,3.3350000000000093,0.0800312438988675,3.236750000000009,3.2644000000000086,3.410000000000009,3.4720000000000093,10,10,experiment_order_steps
PINN_mono,9.0,2.3350000000000093,0.0800312438988675,2.236750000000009,2.2644000000000086,2.410000000000009,2.4720000000000093,10,10,experiment_order_steps
PINN_mono,10.0,1.335000000000009,0.0800312438988675,1.2367500000000091,1.2644000000000086,1.410000000000009,1.472000000000009,10,10,experiment_order_steps
