model,t,VB_mean,VB_std,VB_q025,VB_q16,VB_q84,VB_q975,is_extrapolation
Poly2(t),1.0,89.71927283746564,2.862169464931436,84.87226721763088,86.48266776859508,92.74700055096419,94.86486019283755,False
Poly2(t),1.01,89.82401241185033,2.8495746455793625,85.00187095833336,86.60471361712584,92.843045111708,94.94575858548562,False
Poly2(t),1.02,89.92897829845738,2.83702370747413,85.13085116666669,86.71431821230496,92.93931983526171,95.02693379442158,False
Poly2(t),1.03,90.03417049728652,2.8245167616832467,85.25987697417358,86.8227471194216,93.03582472162533,95.10838581964539,False
Poly2(t),1.04,90.13958900833786,2.812053920232228,85.38908713682281,86.94144056124897,93.13255977079889,95.19011466115711,False
Poly2(t),1.05,90.24523383161169,2.7996352961083644,85.51848165461435,87.0591342642333,93.229422783517,95.2721203189567,False
Poly2(t),1.06,90.35110496710745,2.787261003264328,85.64190275447666,87.16306773719015,93.32544857575758,95.35652561776867,False
Poly2(t),1.07,90.45720241482559,2.774931156621586,85.76198103842408,87.2679342967402,93.42170554201103,95.4413208632347,False
Poly2(t),1.08,90.56352617476591,2.7626458720736364,85.88226784297527,87.38036047162538,93.51819368227733,95.52638421120301,False
Poly2(t),1.09,90.6700762469285,2.750405266489048,86.00276316813023,87.50388407520666,93.61491299655648,95.61171566167363,False
Poly2(t),1.1,90.77685263131318,2.7382094577142775,86.12346701388896,87.63097949494953,93.71118792929293,95.69731521464654,False
Poly2(t),1.11,90.88385532792022,2.726058564576292,86.24437938025144,87.75907685886138,93.80287015785127,95.78318287012175,False
Poly2(t),1.12,90.99108433674934,2.7139527068849594,86.3655002672177,87.88735873939399,93.89038248374658,95.86931862809925,False
Poly2(t),1.1300000000000001,91.09853965780077,2.701892005435205,86.48682967478771,88.01582513654733,93.9781013657484,95.95584718543395,False
Poly2(t),1.1400000000000001,91.20622129107437,2.6898765820089223,86.6083676029615,88.14043600899917,94.06608638494033,96.04325412511486,False
Poly2(t),1.1500000000000001,91.3141292365704,2.6779065593766487,86.73011405173905,88.25853562327833,94.15433754132233,96.13092753529621,False
Poly2(t),1.1600000000000001,91.42226349428839,2.6659820612989455,86.85227196326915,88.38155679265388,94.24285483489442,96.21940590633619,False
Poly2(t),1.1700000000000002,91.53062406422873,2.6541032125275366,86.98006112413921,88.51173321845734,94.33163826565658,96.31306616150148,False
Poly2(t),1.1800000000000002,91.63921094639123,2.6422701388061505,87.10804482851249,88.64337119228654,94.42068783360884,96.40425330268603,False
Poly2(t),1.1900000000000002,91.74802414077594,2.630482966871058,87.23622307638898,88.77518728200188,94.51258748365481,96.49029431998973,False
Poly2(t),1.2000000000000002,91.85706364738303,2.6187418244513228,87.36459586776868,88.89432168962361,94.61750626262635,96.5766079889808,False
Poly2(t),1.2100000000000002,91.96632946621212,2.607046840268723,87.4930361155304,89.0086511030304,94.71214160151517,96.66319430965916,False
Poly2(t),1.2200000000000002,92.07582159726364,2.5953981440373317,87.62444089738291,89.12320466923794,94.80288740459147,96.75019091907721,False
Poly2(t),1.2300000000000002,92.18554004053725,2.583795866462784,87.75849881835398,89.23798238824621,94.90299371561072,96.83799502883966,False
Poly2(t),1.2400000000000002,92.29548479603316,2.5722401392411727,87.89273498071626,89.35298426005521,95.00757180826453,96.9311702341599,False
Poly2(t),1.2500000000000002,92.40565586375119,2.560731095057567,88.0271493844697,89.46821028466493,95.11238052112037,97.02486056947323,False
Poly2(t),1.2600000000000002,92.51605324369149,2.5492688675841837,88.16174202961432,89.5836604620754,95.21151042883393,97.11907046522043,False
Poly2(t),1.2700000000000002,92.62667693585409,2.537853591478126,88.29651291615014,89.69938390468329,95.3059861488982,97.21142982093669,False
Poly2(t),1.2800000000000002,92.73752694023872,2.5264854023787473,88.42745006060606,89.81932593131323,95.39996187180913,97.30647070247946,False
Poly2(t),1.2900000000000003,92.84860325684579,2.515164436904593,88.55624185181361,89.945552259596,95.49419498746569,97.40094573131898,False
Poly2(t),1.3000000000000003,92.95990588567498,2.503890832649875,88.68475678374656,90.08000559228653,95.59048577134998,97.49568072486238,False
Poly2(t),1.3100000000000003,93.07143482672647,2.492664728180546,88.81346075906798,90.21636527153355,95.6881131999542,97.58965575550974,False
