m,n,physics_MAE,sensor_concurrent_MAE,physics_wins,median_gap_um,sign_p,wilcoxon_p
3,18,11.02,32.74,11,7.31,0.24034,0.01342
4,18,5.63,35.17,16,13.45,0.00066,2e-05
