m,nested_MAE,insearch_MAE,optimism_um,top_winner,top_winner_share
2,17.84,12.7,5.14,wls_g3|full|-|eb0.2,0.39
3,17.22,11.0,6.22,siegel|full|loc|eb0.0,0.67
4,5.6,5.6,-0.0,wls_g3|m_matched|-|eb0.0,0.78
