tool,n_future,MAE,R2
T1,2,0.89,0.93
T2,2,7.48,-3.03
T3,2,2.37,-0.63
T4,2,21.6,-5.81
T5,2,3.89,-3.26
T6,2,0.0,
T7,2,17.56,-4.09
T8,2,0.7,0.97
T9,2,6.91,-0.43
T10,2,10.39,-2.4
T11,2,9.97,-2.13
T12,2,9.68,-99.92
T13,2,8.03,
T14,9,33.45,-1.94
T15,2,28.91,-5.76
T16,3,16.86,
T17,2,6.63,0.74
T18,76,23.0,0.22
