p_strategy,m,fit,lam,MAE,RMSE,n,mondrian_cov,mondrian_width
m_matched,3,ols,0.6,20.386,56.684,18,87.3,67.6
m_matched,3,ols,0.8,23.248,67.239,18,87.3,79.5
m_matched,4,theil_sen,0.0,9.124,11.909,18,89.7,48.6
m_matched,4,theil_sen,0.2,10.137,15.057,18,89.8,54.4
m_matched,4,theil_sen,0.4,12.2,21.706,18,90.1,61.6
m_matched,4,theil_sen,0.6,14.687,29.506,18,89.3,69.3
m_matched,4,theil_sen,0.8,17.427,37.783,18,89.1,77.7
m_matched,4,siegel,0.0,10.664,14.009,18,90.2,63.0
m_matched,4,siegel,0.2,11.192,16.28,18,89.8,65.6
m_matched,4,siegel,0.4,12.876,22.25,18,89.6,69.5
m_matched,4,siegel,0.6,15.028,29.726,18,89.2,74.3
m_matched,4,siegel,0.8,17.548,37.85,18,89.1,79.5
m_matched,4,ols,0.0,8.323,11.182,18,87.8,40.0
m_matched,4,ols,0.2,9.656,14.87,18,90.5,48.1
m_matched,4,ols,0.4,11.919,21.757,18,90.4,56.9
m_matched,4,ols,0.6,14.58,29.613,18,89.5,66.0
m_matched,4,ols,0.8,17.379,37.849,18,89.1,77.6
m_matched,5,theil_sen,0.0,27.128,42.763,3,81.1,185.2
m_matched,5,theil_sen,0.2,40.362,70.982,3,76.1,289.5
m_matched,5,theil_sen,0.4,55.38,100.154,3,72.1,393.1
m_matched,5,theil_sen,0.6,70.495,129.427,3,69.4,495.9
m_matched,5,theil_sen,0.8,85.61,158.858,3,67.6,601.7
m_matched,5,siegel,0.0,27.86,44.249,3,81.1,192.8
m_matched,5,siegel,0.2,41.15,72.198,3,76.1,295.7
m_matched,5,siegel,0.4,55.874,101.044,3,72.1,397.7
m_matched,5,siegel,0.6,70.82,130.016,3,69.8,499.0
m_matched,5,siegel,0.8,85.772,159.151,3,67.6,602.6
m_matched,5,ols,0.0,28.729,44.771,3,79.7,186.7
m_matched,5,ols,0.2,41.871,72.56,3,75.2,291.7
m_matched,5,ols,0.4,56.567,101.305,3,72.1,396.2
m_matched,5,ols,0.6,71.286,130.188,3,69.8,500.0
m_matched,5,ols,0.8,86.004,159.235,3,67.6,603.8
