m,n,mae_med,mae_min,mae_max,r2_med,r2_min,r2_max,r2_pos,r2_def
3,18,8.86,0.0,33.45,-2.13,-99.92,0.97,4,15
4,18,7.61,0.0,28.05,-0.02,-0.58,0.54,1,2
