covariate,gamma2,p_chi2,p_cluster_robust,p_permutation,loo_max_p,loo_frac_sig
R_spectral_kurtosis__mean,0.623,0.0098,0.004,0.067,0.1061,0.89
R_kurtosis__std,0.64,0.0253,0.0769,0.0008,0.3767,0.94
