model,branch_id,data_branch,tuning_method,validation_type_used_for_selection,reason_selected_for_shap,shap_note
ElasticNet,SOLO_A_N_ST,S,none,loeo,1st by LOEO MAE,top1=A_p1_skewness (|SHAP|=4.703)
ElasticNet,SOLO_A_N_CT_random,S,random,loeo,2nd by LOEO MAE,top1=A_p1_skewness (|SHAP|=4.703)
XGBoost,SOLO_R_N_CT_random,S,random,loeo,best non-linear in LOEO,top1=R_p1_std (|SHAP|=8.616)
