item_checked,status,action_taken,notes
target_column_is_VB_um,PASS,,target encontrado: VB_um
no_forbidden_targets,PASS,,ninguna
prior_layered_outputs,PASS,archivados 87,a outputs\archive\layered_pipeline_runs\run_20260609_092709
deprecated_holdout_archived,PASS,archivados 7 archivos deprecated,a outputs\archive\deprecated_holdout\archived_20260609_092709
feature_columns_clean,PASS,,"features=189, leaks=[]"
