model,feature_subset,data_branch,tuning_branch,tuning_method,validation_type,augmentation_strategy,branch_id,n_features,MAE,RMSE,R2,MAPE_%,n_train,n_train_original,n_train_augmented,n_test,n_folds,notes
DummyRegressor,SOLO_R,A,ST,none,loeo,feature_noise,SOLO_R_A_ST_feature_noise,93,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,SOLO_R,A,ST,none,loeo,feature_noise,SOLO_R_A_ST_feature_noise,93,50.84023207247716,81.7246091392677,-0.8543827311528966,31.46408490572221,36,9,27,10,10,
Lasso,SOLO_R,A,ST,none,loeo,feature_noise,SOLO_R_A_ST_feature_noise,93,37.659951699925166,43.943609015314244,0.46385147714245045,23.468016745641222,36,9,27,10,10,
ElasticNet,SOLO_R,A,ST,none,loeo,feature_noise,SOLO_R_A_ST_feature_noise,93,30.030778758221818,37.7311514520558,0.6047300600834686,19.92347516215575,36,9,27,10,10,
SVR,SOLO_R,A,ST,none,loeo,feature_noise,SOLO_R_A_ST_feature_noise,93,50.961658230235365,62.75831439086347,-0.09354387112229556,34.184520147982155,36,9,27,10,10,
RandomForest,SOLO_R,A,ST,none,loeo,feature_noise,SOLO_R_A_ST_feature_noise,93,50.666133928571426,62.84920180693673,-0.09671353386023229,32.837132800778654,36,9,27,10,10,
XGBoost,SOLO_R,A,ST,none,loeo,feature_noise,SOLO_R_A_ST_feature_noise,93,54.08679351806641,66.01321473001968,-0.20991659998269907,32.29373329764838,36,9,27,10,10,
MLP,SOLO_R,A,ST,none,loeo,feature_noise,SOLO_R_A_ST_feature_noise,93,302.1493112807715,760.8387255368185,-159.7233177415297,129.61531374961655,36,9,27,10,10,
BNN,SOLO_R,A,ST,none,loeo,feature_noise,SOLO_R_A_ST_feature_noise,93,36.725850677490236,51.42918096104897,0.26563345142854544,20.58619735647154,36,9,27,10,10,
