model,feature_subset,data_branch,tuning_branch,tuning_method,validation_type,augmentation_strategy,branch_id,n_features,MAE,RMSE,R2,MAPE_%,n_train,n_train_original,n_train_augmented,n_test,n_folds,notes
DummyRegressor,SOLO_A,N,ST,none,loeo,none,SOLO_A_N_ST,95,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,9,9,0,10,10,
Ridge,SOLO_A,N,ST,none,loeo,none,SOLO_A_N_ST,95,27.95604802287213,37.71209175706911,0.6051292963321107,19.098559784377166,9,9,0,10,10,
Lasso,SOLO_A,N,ST,none,loeo,none,SOLO_A_N_ST,95,26.99001704788148,38.033363569166895,0.5983727793384686,17.943517930115995,9,9,0,10,10,
ElasticNet,SOLO_A,N,ST,none,loeo,none,SOLO_A_N_ST,95,19.0676065719693,26.547358239846673,0.8043245727659085,14.830258023774057,9,9,0,10,10,
SVR,SOLO_A,N,ST,none,loeo,none,SOLO_A_N_ST,95,63.36129702448578,72.61895191380908,-0.4641771438019693,41.14733842497806,9,9,0,10,10,
RandomForest,SOLO_A,N,ST,none,loeo,none,SOLO_A_N_ST,95,51.324338095238076,60.07660057263347,-0.0020845592940379465,35.27847278162118,9,9,0,10,10,
XGBoost,SOLO_A,N,ST,none,loeo,none,SOLO_A_N_ST,95,57.697462463378905,68.70873923139683,-0.3107432474111018,37.798997757326504,9,9,0,10,10,
MLP,SOLO_A,N,ST,none,loeo,none,SOLO_A_N_ST,95,249.23440059366698,407.77972954741705,-45.16841200374396,154.89151846778228,9,9,0,10,10,
BNN,SOLO_A,N,ST,none,loeo,none,SOLO_A_N_ST,95,48.481640625,53.76931178175647,0.19728269521148822,32.12443750686531,9,9,0,10,10,
