branch_id,data_branch,tuning_method,augmentation_strategy,model,MAE,RMSE,R2,MAPE_%,delta_MAE_vs_baseline,delta_RMSE_vs_baseline,delta_R2_vs_baseline,delta_MAPE_%_vs_baseline,baseline_branch,mae_interpretation
SOLO_A_N_ST,N,none,none,ElasticNet,19.0676065719693,26.547358239846673,0.8043245727659085,14.830258023774057,-5.459069946065554,-9.295624833395877,0.16102363225985483,-0.7540033053051332,FUSION_N_ST,mejora
SOLO_A_N_CT_grid,N,grid,none,ElasticNet,19.0676065719693,26.547358239846673,0.8043245727659085,14.830258023774057,-5.459069946065554,-9.295624833395877,0.16102363225985483,-0.7540033053051332,FUSION_N_ST,mejora
SOLO_A_N_CT_random,N,random,none,ElasticNet,19.0676065719693,26.547358239846673,0.8043245727659085,14.830258023774057,-5.459069946065554,-9.295624833395877,0.16102363225985483,-0.7540033053051332,FUSION_N_ST,mejora
SOLO_A_A_ST_feature_noise,A,none,feature_noise,ElasticNet,19.373963157729463,26.69487143477136,0.8021439488354156,14.865807026280109,-5.152713360305391,-9.148111638471189,0.15884300832936193,-0.7184543027990813,FUSION_N_ST,mejora
SOLO_A_A_ST_grouped_scaling,A,none,grouped_scaling,ElasticNet,19.401603473744853,26.957121334392316,0.7982373856058824,15.697784895222691,-5.125073044290001,-8.885861738850235,0.15493644509982873,0.11352356614350079,FUSION_N_ST,mejora
SOLO_A_A_ST_feature_scaling,A,none,feature_scaling,ElasticNet,20.890492088259936,27.34325677894394,0.7924158683064718,16.444624514621715,-3.636184429774918,-8.499726294298611,0.14911492780041813,0.8603631855425249,FUSION_N_ST,"marginal (<5 µm, no significativo con n=10)"
SOLO_A_A_CT_grid_feature_scaling,A,grid,feature_scaling,ElasticNet,22.722394842650555,29.571904110112012,0.7571980062976937,18.51345555902098,-1.8042816753842992,-6.271078963130538,0.11389706579164005,2.929194229941789,FUSION_N_ST,"marginal (<5 µm, no significativo con n=10)"
SOLO_A_A_CT_random_feature_scaling,A,random,feature_scaling,ElasticNet,22.722394842650555,29.571904110112012,0.7571980062976937,18.51345555902098,-1.8042816753842992,-6.271078963130538,0.11389706579164005,2.929194229941789,FUSION_N_ST,"marginal (<5 µm, no significativo con n=10)"
SOLO_R_A_CT_grid_grouped_scaling,A,grid,grouped_scaling,Ridge,23.854244687017548,29.757116542575073,0.7541470851382559,17.067821078794466,-0.6724318310173061,-6.085866530667477,0.11084614463220221,1.4835597497152762,FUSION_N_ST,practical tie (<1 µm)
SOLO_R_A_CT_random_grouped_scaling,A,random,grouped_scaling,Ridge,23.854244687017548,29.757116542575073,0.7541470851382559,17.067821078794466,-0.6724318310173061,-6.085866530667477,0.11084614463220221,1.4835597497152762,FUSION_N_ST,practical tie (<1 µm)
SOLO_A_A_CT_random_grouped_scaling,A,random,grouped_scaling,Lasso,24.05112736125351,40.59702146075597,0.5424042181628401,13.481650881135849,-0.47554915678134435,4.754038387513418,-0.10089672234321356,-2.1026104479433414,FUSION_N_ST,practical tie (<1 µm)
SOLO_A_A_CT_grid_grouped_scaling,A,grid,grouped_scaling,Lasso,24.05112736125351,40.59702146075597,0.5424042181628401,13.481650881135849,-0.47554915678134435,4.754038387513418,-0.10089672234321356,-2.1026104479433414,FUSION_N_ST,practical tie (<1 µm)
FUSION_A_ST_feature_scaling,A,none,feature_scaling,ElasticNet,24.411414565374233,34.965841246187736,0.6605454511483211,15.619579459355403,-0.11526195266062089,-0.8771418270548139,0.017244510642267397,0.03531813027621311,FUSION_N_ST,practical tie (<1 µm)
FUSION_A_ST_grouped_scaling,A,none,grouped_scaling,ElasticNet,24.463259741025645,35.731537839028306,0.6455156339546402,15.630714309889374,-0.06341677700920911,-0.11144523421424424,0.002214693448586491,0.046452980810183675,FUSION_N_ST,practical tie (<1 µm)
FUSION_A_ST_feature_noise,A,none,feature_noise,ElasticNet,24.485374620338934,35.842333359444,0.643313871918596,15.527241127985992,-0.041301897695920076,-0.000649713798551943,1.2931412542327436e-05,-0.05702020109319861,FUSION_N_ST,practical tie (<1 µm)
FUSION_N_ST,N,none,none,ElasticNet,24.526676518034854,35.84298307324255,0.6433009405060537,15.58426132907919,0.0,0.0,0.0,0.0,FUSION_N_ST,practical tie (<1 µm)
