data_branch,augmentation_strategy,best_MAE_CT_grid,best_MAE_ST,best_MAE_CT_random,delta_random_vs_none,delta_grid_vs_none,delta_grid_vs_random
A,feature_noise,26.268621448232853,19.373963157729463,26.268621448232853,6.89465829050339,6.89465829050339,0.0
A,feature_scaling,22.722394842650555,20.890492088259936,22.722394842650555,1.8319027543906188,1.8319027543906188,0.0
A,grouped_scaling,23.854244687017548,19.401603473744853,23.854244687017548,4.452641213272695,4.452641213272695,0.0
N,none,19.0676065719693,19.0676065719693,19.0676065719693,0.0,0.0,0.0
