model,feature_subset,data_branch,tuning_branch,tuning_method,validation_type,augmentation_strategy,branch_id,n_features,MAE,RMSE,R2,MAPE_%,n_train,n_train_original,n_train_augmented,n_test,n_folds,notes
DummyRegressor,FUSION,A,CT,none,loeo,feature_noise,FUSION_A_CT_random_feature_noise,189,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,FUSION,A,CT,random,loeo,feature_noise,FUSION_A_CT_random_feature_noise,189,40.83995059687994,59.9392356892472,0.0024927256340427917,27.307905655984865,36,9,27,10,10,
Lasso,FUSION,A,CT,random,loeo,feature_noise,FUSION_A_CT_random_feature_noise,189,36.1412974138474,48.97771576874701,0.3339747057841821,22.243624348582376,36,9,27,10,10,
ElasticNet,FUSION,A,CT,random,loeo,feature_noise,FUSION_A_CT_random_feature_noise,189,35.63088990773392,54.21172757368642,0.18401877826142954,21.74205068612319,36,9,27,10,10,
SVR,FUSION,A,CT,random,loeo,feature_noise,FUSION_A_CT_random_feature_noise,189,52.49259910894784,64.81770775443198,-0.16648996402770688,34.156845119765336,36,9,27,10,10,
RandomForest,FUSION,A,CT,random,loeo,feature_noise,FUSION_A_CT_random_feature_noise,189,57.169,68.86350085495218,-0.3166546121404117,37.62671647101878,36,9,27,10,10,
XGBoost,FUSION,A,CT,random,loeo,feature_noise,FUSION_A_CT_random_feature_noise,189,43.725830078125,55.44794135639002,0.1463801158173894,26.27263301620563,36,9,27,10,10,
MLP,FUSION,A,CT,none,loeo,feature_noise,FUSION_A_CT_random_feature_noise,189,235.7455084346097,598.3349829769296,-98.39910204765059,103.80419901672524,36,9,27,10,10,
BNN,FUSION,A,CT,none,loeo,feature_noise,FUSION_A_CT_random_feature_noise,189,46.503213500976564,59.57227040368363,0.014669391022103295,29.126400657643458,36,9,27,10,10,
