model,feature_subset,data_branch,tuning_branch,tuning_method,validation_type,augmentation_strategy,branch_id,n_features,MAE,RMSE,R2,MAPE_%,n_train,n_train_original,n_train_augmented,n_test,n_folds,notes
DummyRegressor,FUSION,A,CT,none,loeo,feature_scaling,FUSION_A_CT_grid_feature_scaling,189,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,FUSION,A,CT,grid,loeo,feature_scaling,FUSION_A_CT_grid_feature_scaling,189,40.465994725179755,64.23350486124927,-0.14555754292016654,25.199702966409482,36,9,27,10,10,
Lasso,FUSION,A,CT,grid,loeo,feature_scaling,FUSION_A_CT_grid_feature_scaling,189,30.459085398957985,37.10899787504797,0.6176578985725272,18.823860631333293,36,9,27,10,10,
ElasticNet,FUSION,A,CT,grid,loeo,feature_scaling,FUSION_A_CT_grid_feature_scaling,189,26.33888672377884,35.00447747645831,0.6597948620231399,16.789066260962304,36,9,27,10,10,
SVR,FUSION,A,CT,grid,loeo,feature_scaling,FUSION_A_CT_grid_feature_scaling,189,52.72924079019094,64.99613377465494,-0.17292088037916664,34.358291464943264,36,9,27,10,10,
RandomForest,FUSION,A,CT,grid,loeo,feature_scaling,FUSION_A_CT_grid_feature_scaling,189,54.968,66.74341735332406,-0.23683153186420802,36.417660186785085,36,9,27,10,10,
XGBoost,FUSION,A,CT,grid,loeo,feature_scaling,FUSION_A_CT_grid_feature_scaling,189,41.802984619140624,52.55058881830143,0.23325872433491313,24.969307798652192,36,9,27,10,10,
MLP,FUSION,A,CT,none,loeo,feature_scaling,FUSION_A_CT_grid_feature_scaling,189,223.28698443497888,579.6427416440089,-92.28557092381165,94.94907693272738,36,9,27,10,10,
BNN,FUSION,A,CT,none,loeo,feature_scaling,FUSION_A_CT_grid_feature_scaling,189,35.334468841552734,48.39691097314058,0.3496772371464243,20.9690980402096,36,9,27,10,10,
