model,feature_subset,data_branch,tuning_branch,tuning_method,validation_type,augmentation_strategy,branch_id,n_features,MAE,RMSE,R2,MAPE_%,n_train,n_train_original,n_train_augmented,n_test,n_folds,notes
DummyRegressor,SOLO_R,A,ST,none,loeo,feature_scaling,SOLO_R_A_ST_feature_scaling,93,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,SOLO_R,A,ST,none,loeo,feature_scaling,SOLO_R_A_ST_feature_scaling,93,60.13139035684112,111.90434234309386,-2.476862760326499,34.24288575989495,36,9,27,10,10,
Lasso,SOLO_R,A,ST,none,loeo,feature_scaling,SOLO_R_A_ST_feature_scaling,93,37.212934248853216,43.48900099287348,0.47488728697968174,23.344000034423857,36,9,27,10,10,
ElasticNet,SOLO_R,A,ST,none,loeo,feature_scaling,SOLO_R_A_ST_feature_scaling,93,29.17004734018453,36.47412813973519,0.6306283929061574,19.55221433273222,36,9,27,10,10,
SVR,SOLO_R,A,ST,none,loeo,feature_scaling,SOLO_R_A_ST_feature_scaling,93,51.04217967067109,62.86469696472877,-0.09725437904627499,34.295536755357915,36,9,27,10,10,
RandomForest,SOLO_R,A,ST,none,loeo,feature_scaling,SOLO_R_A_ST_feature_scaling,93,51.65781924603175,63.69981900900266,-0.12660082954937724,34.32155570302264,36,9,27,10,10,
XGBoost,SOLO_R,A,ST,none,loeo,feature_scaling,SOLO_R_A_ST_feature_scaling,93,55.03347473144531,66.85619473997886,-0.24101485000374168,34.14580545754101,36,9,27,10,10,
MLP,SOLO_R,A,ST,none,loeo,feature_scaling,SOLO_R_A_ST_feature_scaling,93,206.67173616717372,451.72272242421406,-55.65490865519896,98.41074568378707,36,9,27,10,10,
BNN,SOLO_R,A,ST,none,loeo,feature_scaling,SOLO_R_A_ST_feature_scaling,93,42.063046264648435,58.07179071414915,0.0636804175962008,25.722047244172124,36,9,27,10,10,
