model,feature_subset,data_branch,tuning_branch,tuning_method,validation_type,augmentation_strategy,branch_id,n_features,MAE,RMSE,R2,MAPE_%,n_train,n_train_original,n_train_augmented,n_test,n_folds,notes
DummyRegressor,FUSION,A,ST,none,loeo,feature_noise,FUSION_A_ST_feature_noise,189,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,FUSION,A,ST,none,loeo,feature_noise,FUSION_A_ST_feature_noise,189,40.83995059687994,59.9392356892472,0.0024927256340427917,27.307905655984865,36,9,27,10,10,
Lasso,FUSION,A,ST,none,loeo,feature_noise,FUSION_A_ST_feature_noise,189,33.75802618159396,40.03575130331035,0.5549696441335827,21.66406136811705,36,9,27,10,10,
ElasticNet,FUSION,A,ST,none,loeo,feature_noise,FUSION_A_ST_feature_noise,189,24.485374620338934,35.842333359444,0.643313871918596,15.527241127985992,36,9,27,10,10,
SVR,FUSION,A,ST,none,loeo,feature_noise,FUSION_A_ST_feature_noise,189,52.49259910894784,64.81770775443198,-0.16648996402770688,34.156845119765336,36,9,27,10,10,
RandomForest,FUSION,A,ST,none,loeo,feature_noise,FUSION_A_ST_feature_noise,189,55.53401051587302,67.87620987959161,-0.2791716854083415,36.73565153638641,36,9,27,10,10,
XGBoost,FUSION,A,ST,none,loeo,feature_noise,FUSION_A_ST_feature_noise,189,56.38625869750977,68.00534088068414,-0.28404343191614223,35.355407927903,36,9,27,10,10,
MLP,FUSION,A,ST,none,loeo,feature_noise,FUSION_A_ST_feature_noise,189,235.7455084346097,598.3349829769296,-98.39910204765059,103.80419901672524,36,9,27,10,10,
BNN,FUSION,A,ST,none,loeo,feature_noise,FUSION_A_ST_feature_noise,189,46.503213500976564,59.57227040368363,0.014669391022103295,29.126400657643458,36,9,27,10,10,
