tool_id,experiment_id,within_tool_order,vb_um,vc,fz,cooling,usable_sensor,usable_trajectory
T18,147,54,183.2,55,0.08,Coolant,True,True
T18,148,55,183.6,55,0.08,Coolant,True,True
T18,149,56,184.0,55,0.08,Coolant,True,True
T18,150,57,184.4,55,0.08,Coolant,True,True
T18,151,58,184.8,55,0.08,Coolant,True,True
T18,152,59,185.2,55,0.08,Coolant,True,True
T18,153,60,185.6,55,0.08,Coolant,True,True
T18,154,61,186.0,55,0.08,Coolant,True,True
T18,155,62,187.4,55,0.08,Coolant,True,True
T18,156,63,188.8,55,0.08,Coolant,True,True
T18,157,64,190.2,55,0.08,Coolant,True,True
T18,158,65,191.6,55,0.08,Coolant,True,True
T18,159,66,193.0,55,0.08,Coolant,True,True
T18,160,67,194.0,55,0.08,Coolant,True,True
T18,161,68,195.0,55,0.08,Coolant,True,True
T18,162,69,196.0,55,0.08,Coolant,True,True
T18,163,70,197.0,55,0.08,Coolant,True,True
T18,164,71,198.0,55,0.08,Coolant,True,True
T18,165,72,198.8,55,0.08,Coolant,True,True
T18,166,73,199.6,55,0.08,Coolant,True,True
T18,167,74,200.4,55,0.08,Coolant,True,True
T18,168,75,201.2,55,0.08,Coolant,True,True
T18,169,76,202.0,55,0.08,Coolant,True,True
T18,170,77,203.0,55,0.08,Coolant,True,True
T18,171,78,203.0,55,0.08,Coolant,True,True
T18,172,79,203.0,55,0.08,Coolant,True,True
T2,6,1,134.68,80,0.3,Coolant,True,True
T2,7,2,139.88,80,0.3,Coolant,True,True
T2,8,3,145.08,80,0.3,Coolant,True,True
T2,9,4,152.995,80,0.3,Coolant,True,True
T2,10,5,160.91,80,0.3,Coolant,True,True
T3,11,1,134.0,80,0.2,Dry,True,True
T3,12,2,143.5,80,0.2,Dry,True,True
T3,13,3,153.0,80,0.2,Dry,True,True
T3,14,4,156.775,80,0.2,Dry,True,True
T3,15,5,160.55,80,0.2,Dry,True,True
T4,16,1,102.0,80,0.2,Coolant,True,True
T4,17,2,107.5,80,0.2,Coolant,True,True
T4,18,3,113.0,80,0.2,Coolant,True,True
T4,19,4,130.5,80,0.2,Coolant,True,True
T4,20,5,148.0,80,0.2,Coolant,True,True
T5,21,1,133.0,80,0.08,Dry,True,True
T5,22,2,135.5,80,0.08,Dry,True,True
T5,23,3,138.0,80,0.08,Dry,True,True
T5,24,4,142.0,80,0.08,Dry,True,True
