mean,std,variance,rms,mav,max,min,peak_to_peak,energy,waveform_length,zero_crossing_rate,skewness,kurtosis,crest_factor,impulse_factor,margin_factor,shape_factor,clearance_factor,entropy,dominant_freq,mean_freq,median_freq,spectral_centroid,rms_freq,freq_variance,spectral_power,total_power,mean_power,spectral_skewness,spectral_kurtosis,band1_energy,band1_ratio,band2_energy,band2_ratio,band3_energy,band3_ratio,band4_energy,band4_ratio,band5_energy,band5_ratio,wavelet_d1_energy,wavelet_d1_ratio,wavelet_d2_energy,wavelet_d2_ratio,wavelet_d3_energy,wavelet_d3_ratio,wavelet_approx_energy,wavelet_low_high_ratio,wavelet_entropy,segment_n_samples,segment_duration_s,experiment_id,contact_id,channel,valid_segment,quality_flag
0.00012172953929157987,31.61703743834923,999.6370563779767,31.617037438583566,25.26710305246083,188.41813742280453,-194.75685057719545,383.174988,150730273.54818755,2101206.469865,0.17692858658743632,-0.04193320185656651,-0.051395544705301166,6.1598703216740835,7.707921647084899,9.105944707982978,1.251312323891561,9.105944707982978,11.639690594641051,1878.1709055940578,3762.758753026035,2218.722021421229,5295.989516415611,4715.0728329960075,8073558.386982946,12277.185097570007,11363932148650.188,150729273.91999507,1.148190337712044,2.928324572539542,8535995125800.405,0.7511480193776336,2410669426866.131,0.21213338792703643,417255083049.3964,0.036717491585776335,10287758.584288592,9.052991913112202e-07,2225175.6682227403,1.9581036203978458e-07,6665714.4536649985,0.044222798093270996,27538803.689905487,0.18270253905630657,32385526.091537915,0.21485747573585132,84140229.31307903,12.622837341437023,1.1043329829202857,150785,3.0157,66,1,axial,True,valid
-0.000930818890947247,31.999258460692104,1023.9525420341752,31.999258474230288,25.71499484400765,225.63486243580206,-265.4716585641979,491.106521,139039443.94284362,1652964.0365430003,0.1501112043951512,-0.018247697871243654,-0.005338183057644219,8.296181574894302,10.323613136016254,12.160674863536826,1.244381290696071,12.160674863536826,11.541108163127051,1882.3598724472886,3226.2543885071304,1997.982133783057,5288.938600263378,4120.456879256519,6569447.514450849,11791.455385807541,9439874495321.057,139038420.1154897,1.7336861039272655,4.657260556769657,7806093138648.592,0.826927640035653,1328682560021.8186,0.14075214248668136,305087021107.3203,0.032318970051830556,10009007.529931096,1.060290317937186e-06,1766535.7981915826,1.871355174337518e-07,4530763.572008333,0.03258617442307123,18233131.7226497,0.13113639702230828,25536544.709146902,0.18366403075982163,90739003.93903856,20.02730941416505,0.9677383691716586,135787,2.71574,66,2,axial,True,valid
4.728171693643649e-05,33.38104949364711,1114.2944652973183,33.3810494936806,26.905696703894762,110.47706588829774,-110.76458811170225,221.24165399999998,134816258.7676624,1578126.2252089998,0.15437195731772835,0.08110669091698659,-0.3359779328091732,3.3181877080487805,4.1167708582571025,4.856719419716559,1.2406684673899284,4.856719419716559,11.425172430043942,1908.8669950738915,3191.346185220145,1909.6935233246272,5319.450059572958,4105.9146381285345,6673844.541678998,11610.944415362039,8155574757954.845,134814030.2166269,1.675698970473533,4.404401505724457,6608819442529.067,0.8103438002432518,1298540941560.9187,0.1592212664465295,248208752603.4981,0.030434244056361377,4195641.5477016065,5.144507496064861e-07,1425524.789816,1.7479145641152527e-07,4358639.768277736,0.03233022343239227,18032578.242970258,0.1337567026989451,22504363.96219381,0.166926186558678,89920676.7942205,20.630444720085592,0.9489835439148426,120988,2.41976,66,3,axial,True,valid
-0.00011519143518189413,32.08238080932575,1029.2791583945932,32.08238080953254,25.833024926580027,112.25373299368289,-115.4950310063171,227.748764,106220579.86853294,1325388.130031,0.15440221709723057,0.03283500885588203,-0.30419700564897445,3.5999520014423876,4.470828768003777,5.282419633301434,1.241913438349266,5.282419633301434,11.264678511127823,1817.8470721615515,3246.0530398851865,1894.3982015329602,5273.731915857756,4217.156445085193,7247548.144575722,10306.286945390058,5480928810997.025,106219550.60071754,1.5599675938829995,3.9865711914092525,4381070518671.8877,0.7993299438375547,925872617087.7703,0.16892622564812085,173981094915.6669,0.0317429948308375,3585816.818241199,6.542352476913324e-07,994504.8820712072,1.8144823922467598e-07,3730354.488756532,0.03511894298989442,15009686.823312737,0.14130676787765548,17393874.875454485,0.16375239993024465,70086663.6810091,18.788204684636188,0.9647638816244868,103199,2.06398,66,4,axial,True,valid
-0.0005737137625329348,27.388078532789017,750.1068457182187,27.388078538797977,21.928617857899454,107.30704846145055,-101.49666253854944,208.803711,65124276.37383234,989158.7562059999,0.1655858740598256,0.04418590553668822,-0.19531416063807594,3.91802032805753,4.893470676392398,5.806435800361271,1.248965106523145,5.806435800361271,11.085099454488457,2122.206864777701,3388.1167948577327,2077.8622437226445,5017.470586907368,4412.643128175661,7992083.961038854,8069.868414249059,2827044838629.4434,65122776.22329463,1.290888001133498,3.318262658000876,2195810799580.2412,0.7767159436511712,524782009666.27734,0.18562917803620427,106448766659.06984,0.03765372420151511,2621726.660349,9.273735685140452e-07,640995.4496998021,2.2673692363880508e-07,2521683.2180676316,0.038721093860489705,10386586.368838668,0.15948870294107598,11883566.126716683,0.18247521183193743,40332440.66020928,15.99425350941427,1.0258385740738625,86820,1.7364,66,5,axial,True,valid
-1.2082577774800196e-05,27.783760375886647,771.937340624689,27.78376037588928,21.959892094094847,117.99255123477025,-145.29317776522976,263.285729,54664742.776347704,831525.302015,0.1749936453243709,0.035531902224394195,0.004889080704626458,5.22942811914365,6.616297436374626,7.916366374712158,1.265204776819429,7.916366374712158,10.865579094332888,1575.2312363199885,3434.3104456689916,2000.2824260396806,5065.725771096654,4530.123856079728,8727533.914191514,7393.508696817636,1935541879853.897,54663970.849918015,1.1972667164317563,3.012247053011002,1466664170167.8125,0.7577537770861991,395658161693.0317,0.20441725689908485,73216705705.82234,0.03782749754365897,2375588.9178884625,1.2273508223277412e-06,466698.312418139,2.4112023473931104e-07,2304229.160436896,0.042152016883428754,9322473.20539283,0.17053904824055038,9270561.531226255,0.16958941102412803,33767478.879291676,14.654566246739606,1.0336046782643682,70815,1.4163,66,6,axial,True,valid
-0.00026916898481501894,38.52629768244219,1484.2756131161507,38.52629768338249,30.195060624395804,218.84050515052635,-206.52262384947363,425.36312899999996,225541616.52646092,3708329.062326,0.2671220706402638,0.07036544837361156,0.37670642243732333,5.68028900542169,7.247559720867362,8.64692506907145,1.2759139040195955,8.64692506907145,11.627554420694253,1995.9987891072296,6210.969567531879,5655.658949418902,6648.957644092224,6740.530378027154,6858606.808299773,15017.94420103483,17135975399673.514,225538648.0253957,0.014904054089854554,1.9882104360671196,7367483514978.617,0.4299424656689801,8490680770532.565,0.4954886180972421,1277788430784.5125,0.07456759250534742,17959938.12772915,1.0480837949890694e-06,4723439.6904467,2.756446353521664e-07,21707811.437395178,0.09624747650440113,92966364.32582916,0.41219162014351474,79519044.31968953,0.3525692754372907,31348396.443546817,1.444106723238999,1.2324453308904721,151954,3.03908,67,1,axial,True,valid
-0.00026737704376621847,31.265979893919223,977.5614987269611,31.265979895062486,24.472376087513325,208.3479921146956,-207.9147948853044,416.262787,131889664.7333907,2670931.14945,0.2664769189718047,0.1514335987916013,0.49681611612720245,6.663728205991433,8.513598817280094,10.161770129282152,1.2776029504962627,10.161770129282152,11.507812444451895,2207.6535944321317,6183.394371292526,5571.203035940614,6627.253733092872,6729.826219939653,7056194.999655139,11484.280003064307,8897078949068.094,131888687.18878272,-0.04050449893558263,1.9318485865307629,3937600730323.6973,0.44257230410843246,4279766346117.244,0.4810305012034899,679697231530.5032,0.07639554908093703,12029899.567570172,1.3521178845816827e-06,2611197.081222391,2.934892559873143e-07,12679533.33577923,0.09613742942944296,54279099.148176536,0.4115492996202504,44786495.88993939,0.33957547758176054,20144536.359495435,1.5887443035976243,1.2442968198404851,134917,2.69834,67,2,axial,True,valid
7.351825165559454e-05,19.281242472879676,371.7663112979791,19.281242473019834,11.751587706415076,149.61551145842137,-135.97686554157863,285.592377,111802769.86351189,2848657.4707039995,0.26478637196450006,0.11943316587616441,4.36361992698594,7.75964057647063,12.731514685180368,18.65041918110471,1.6407351036058517,18.65041918110471,11.958572562938116,5531.46634567425,6231.111218468596,5553.246390497915,6505.244600241427,6719.64693401488,6326907.900890373,10573.647730914678,16811447096313.758,111802026.3374771,-0.03844294411830701,2.2924589697471967,6231314564485.137,0.37065902350853996,9451282301026.027,0.5621932631307157,1128808311740.34,0.06714521987746394,33592676.432900414,1.998202548563846e-06,8326380.511821191,4.952804160236101e-07,10471305.033562237,0.09365872640137225,46820781.306041546,0.4187801551178034,41164642.63111518,0.36818982822490676,13346040.892792819,1.2745346305944278,1.2079080702460772,300734,6.01468,67,3,axial,True,valid
-0.00023414715144678603,29.65436993683889,879.3816563508942,29.654369937763285,23.28312475492625,203.73730030076482,-165.77515069923518,369.512451,89468289.72271784,1857407.627803,0.2552020365838076,0.03811648253099329,0.3328364633252501,6.87039720379657,8.750427721590475,10.446885023237993,1.2736421872020307,10.446885023237993,11.226946977730467,2074.405346962846,6022.972339211353,5466.876351484175,6372.34590441625,6589.39464530539,7143925.99267427,9458.674907186265,4551251898492.611,89466530.9998351,-0.12505000973547314,2.2163752355148305,1949717843463.1084,0.4283915474133306,2334853443778.627,0.513013451211509,266673280941.25543,0.05859339076124933,6029577.454027617,1.3248173444376111e-06,1300732.1666215279,2.857965666660495e-07,8050932.454891996,0.08998643519221877,36037846.817398265,0.4028002203807361,31561368.11507666,0.35276597119373126,13818142.33535085,1.7163406118200033,1.239025301045628,101740,2.0348,67,4,axial,True,valid
-0.0005894603907896067,29.97603904648821,898.5629169165859,29.976039052283898,23.13282016510141,137.00947439044947,-164.52652160955054,301.535996,88332329.0187251,1844390.4835759997,0.2670111797198458,0.00010746202328644926,0.5124292116129188,5.488601123136369,7.112255247535755,8.588399291366626,1.2958229406678654,8.588399291366626,11.171136619382528,1998.3927408854163,6256.541162298025,5635.579427083332,6438.752303458335,6796.33424211668,7045851.8150381865,9398.432420614368,4341710637668.53,88330531.96485524,-0.1893240115021857,2.198187931171096,1652234545551.149,0.38054920823521027,2369810402379.846,0.545824123288976,319657984333.3483,0.07362489373658548,5883000.855647668,1.3549960710432791e-06,1822403.3301599484,4.1974315707473476e-07,8651976.245733643,0.09794801452477907,37397342.25321605,0.4233709522737526,30096473.890713185,0.3407186725975856,12186536.629062155,1.408526362410141,1.2315779958699413,98304,1.96608,67,5,axial,True,valid
-8.629339585433673e-05,27.821692579870604,774.0465780088269,27.82169258000443,21.417565212340158,159.94040946014073,-181.55067953985926,341.491089,71514937.38950153,1695495.4982529997,0.2813075008117762,-0.07684502457880645,0.7877311301727352,6.525508073162091,8.476718886572913,10.226090167273991,1.2990128571651605,10.226090167273991,11.109547748182358,4825.686484614302,6620.094434147067,7123.529348096675,6722.8620596018745,7213.979656726357,8215852.170636765,8456.604717733315,3303668290208.4995,71514163.35198934,-0.46036672826778413,2.2223590846208574,1161202934513.697,0.3514889609090905,1798629344308.9326,0.5444340007257261,343826360937.4383,0.10407411723400925,8370113.870242523,2.53358180512556e-06,1280334.5612650204,3.875493690028476e-07,8413398.384697512,0.11764532965853669,32884030.195611686,0.45982044305668546,20029252.373625524,0.2800708929455884,10188256.435566744,1.2109561403983182,1.2430776973459747,92391,1.84782,67,6,axial,True,valid
-0.0003433255731015616,39.91423692772728,1593.1463095227482,39.914236929203845,31.622310777854345,204.74648560106303,-268.303425398937,473.04991100000007,241022325.74660048,4109741.6198890004,0.2790608516320082,-0.03135739679140574,0.20328968651935453,6.721998114978921,8.484624266827018,10.053207958276447,1.2622175909154374,10.053207958276447,11.635910462829743,4998.446660982107,6761.9503992038435,6318.454328527897,6993.304342191866,7257.7775325172925,6951361.510219783,15524.842434905866,18231772298961.895,241020732.62865388,-0.17967128794255394,2.0103375712660876,5723862775311.591,0.31394988273507035,10275532042078.125,0.5636057687415944,2232336727406.318,0.12244211318575023,34505892.45091556,1.8926241445479386e-06,6248273.4071660675,3.427134402902695e-07,28519951.675938096,0.1183290866835409,110687082.12390381,0.4592399553901703,77833502.36715518,0.32293067509847917,23981789.5796032,0.8408776372449578,1.204541098972771,151287,3.02574,68,1,axial,True,valid
