mean,std,variance,rms,mav,max,min,peak_to_peak,energy,waveform_length,zero_crossing_rate,skewness,kurtosis,crest_factor,impulse_factor,margin_factor,shape_factor,clearance_factor,entropy,dominant_freq,mean_freq,median_freq,spectral_centroid,rms_freq,freq_variance,spectral_power,total_power,mean_power,spectral_skewness,spectral_kurtosis,band1_energy,band1_ratio,band2_energy,band2_ratio,band3_energy,band3_ratio,band4_energy,band4_ratio,band5_energy,band5_ratio,wavelet_d1_energy,wavelet_d1_ratio,wavelet_d2_energy,wavelet_d2_ratio,wavelet_d3_energy,wavelet_d3_ratio,wavelet_approx_energy,wavelet_low_high_ratio,wavelet_entropy,segment_n_samples,segment_duration_s,experiment_id,contact_id,channel,valid_segment,quality_flag,segmentation_source
1.1084351845981997e-16,29.501608088871752,870.3448798293832,29.501608088871752,22.121227437311752,188.41813742280453,-194.75685057719545,383.174988,150791602.15483978,2122980.043737,0.19299987301880475,-0.04490737250902687,0.3852658511827478,6.601567276959819,8.804070711225153,11.380630137785632,1.3336334148940678,11.380630137785632,11.663038697336738,1878.1564745606186,3764.3458608678634,2218.6949871576576,5298.871120976036,4717.0263933726055,8080038.2355407635,12279.687773513766,13062699515668.389,150790731.8149835,1.1469391186032967,2.9247226691479455,9808754545422.758,0.7508979697234401,2773886791190.078,0.21235172621576948,480043054741.58136,0.03674914623625702,12319024.918645818,9.430688429960016e-07,2805289.0516280215,2.1475569029687516e-07,6675939.1834245,0.04427261921767593,27573716.967593603,0.18285976522273206,32831197.53314684,0.2177256363350677,83710748.47067475,12.539171818478783,1.1073457107704345,173255,3.4651,66,1,axial,True,valid,full_contact_original
5.396718429052239e-16,29.097757816604418,846.6795099537635,29.097757816604418,21.578814341543428,225.63486243580206,-265.4716585641979,491.106521,139310953.20877233,1711257.0101409997,0.1802147845165525,-0.02011907058682892,0.6147749172076158,9.123440377687775,12.302420993219304,16.012884383603964,1.348440991986488,16.012884383603964,11.595911321440994,1882.2399688825678,3235.4047844805077,1998.3225759399043,5298.846654375886,4132.749775483821,6611776.587322214,11802.934375425559,11460972809554.451,139309259.8706023,1.7226202252013367,4.612591862642441,9461643943417.234,0.8255533016821683,1626498455863.952,0.14191626512786243,372815345574.1662,0.03252911875537898,12671786.444339767,1.105646671962778e-06,2392912.65463187,2.0878791830280025e-07,4563990.696798127,0.032761176287111504,18238096.812640492,0.1309164598515723,25878101.371033918,0.1857578372337518,90630764.32829966,19.85778901606477,0.9705488487382676,164538,3.29076,66,2,axial,True,valid,full_contact_original
8.764473273240497e-17,31.599797067344856,998.5471746973765,31.599797067344856,24.30543147734069,110.47706588829774,-110.76458811170225,221.24165399999998,134948657.92447695,1607524.1601469996,0.17206091280412006,0.08560571758048613,-0.030032821159751588,3.50523099485859,4.557194889338237,5.702159900158725,1.3001125734716215,5.702159900158725,11.455414024778868,1908.6906655814125,3196.105558018062,1909.8005845573273,5325.4744914855455,4112.264284256405,6695626.8055768935,11616.697438802947,9118818187601.72,134947659.38469094,1.670206863445433,4.3831014595237825,7382983136213.537,0.809642541864878,1457630557327.4812,0.15984862592274612,278198173371.715,0.030508139064551527,4727546.751970748,5.18438536081188e-07,1593142.2331109175,1.7470928801684105e-07,4381843.158201303,0.0324704463578554,17882963.77888163,0.1325167960461653,22792908.288620524,0.16890059255999734,89890942.69877338,20.5144135591728,0.9501324597264741,135145,2.7029,66,3,axial,True,valid,full_contact_original
-1.752088250033888e-16,29.82078007578842,889.2789243285396,29.82078007578842,22.60326461665951,112.25373299368289,-115.4950310063171,227.748764,106424455.26901798,1363683.08171,0.1767969650884904,0.03525425179360298,0.11447657465108207,3.8729714887667877,5.109661500896094,6.4888929659784,1.3193129656946987,6.4888929659784,11.311183954388666,1792.3542928765403,3254.951202403996,1894.714852726133,5286.508472065089,4228.510253170062,7285591.63113312,10316.17981607166,6368173342159.86,106423565.99752432,1.550451088789806,3.952783677083154,5081824678386.713,0.7980035098515608,1083314066417.4485,0.1701137843163714,203028994338.67078,0.031881825985253485,4368301.4654226545,6.859583165713703e-07,1234715.5625540407,1.9388849772347254e-07,3762972.8980438123,0.035358159818923526,15281515.80426606,0.14359026565499172,17593086.43675167,0.165310561301725,69786880.12995633,18.54567705396846,0.9711167890983445,119675,2.3935,66,4,axial,True,valid,full_contact_original
-2.381613445622479e-16,24.642481467283954,607.2518928654331,24.642481467283954,18.128460034720586,107.30704846145055,-101.49666253854944,208.803711,65357306.72532083,1036098.46015,0.19563864086149385,0.048868978154231954,0.4525628241902919,4.354555307423484,5.919258903179007,7.748430531349558,1.3593256912107268,7.748430531349558,11.159827284516378,2122.5889173820938,3404.552110254089,2089.1403723938006,5022.3305830509835,4432.697818244735,8057834.876436067,8084.3114885659215,3517138104119.414,65356092.24415895,1.2772959397297876,3.2750631259793153,2723371494180.6333,0.7743146312596911,660134580114.0737,0.1876908328794077,133627543252.87274,0.03799326022949249,3534367.607057792,1.0048987280079216e-06,952204.2278615846,2.7073268085388076e-07,2560855.059785821,0.039182383548153364,10526000.6979241,0.1610531587870054,12023318.064415481,0.18396287525962882,40247132.90319535,15.716286929007786,1.031031286490021,107628,2.15256,66,5,axial,True,valid,full_contact_original
1.0922079924066522e-17,22.96956764775008,527.6010379245671,22.96956764775008,15.558836967854235,117.99255123477025,-145.29317776522976,263.285729,54917464.43653026,895085.358993,0.22346476058719544,0.042821844282431694,1.3768218127992675,6.325464196512869,9.33830581716406,13.241386100365519,1.4763036398675242,13.241386100365519,10.99877301577316,1575.0943903774653,3455.360370551928,2001.6524320533388,5083.6968439547945,4555.105198569361,8809468.079652857,7410.596254051427,2858151977866.9995,54916936.84056105,1.1809411959496965,2.9649156959077034,2156800849552.9211,0.7546137736043388,592037755491.4043,0.2071400541594832,109308495242.06503,0.03824446568570524,3982360.7418830674,1.3933341448326516e-06,895219.8674856079,3.132163280392453e-07,2344053.324000454,0.04268320375041254,9329575.553387921,0.16988358164587872,9499551.682499344,0.17297870140159627,33744283.8766425,14.39569805479219,1.0385214494824635,104089,2.08178,66,6,axial,True,valid,full_contact_original
3.737281466899662e-16,36.19086843396469,1309.7789580045417,36.19086843396469,26.96366281546038,218.84050515052635,-206.52262384947363,425.36312899999996,225947348.48744747,3766179.7928949995,0.2706498866712655,0.07476088463034004,0.8198567265132466,6.046843157406556,8.116126753559604,10.281078693505503,1.3422089083984645,10.281078693505503,11.670057677349364,1996.1393094812993,6213.066407157012,5660.896885941521,6652.89765072969,6742.466488224845,6858660.165092145,15031.45797853261,19488862596478.582,225944728.96039164,0.01435433378084446,1.9883568000886773,8372282099506.472,0.429593161635777,9660714248331.396,0.4957043645059604,1455840123453.2,0.07470113333942094,20612121.987191558,1.0576359643951687e-06,5512980.952473088,2.828785376869157e-07,21764160.50757837,0.09632403590160962,92071109.18973823,0.4074892217416454,80379833.46866535,0.3557458585230131,31732245.321465313,1.458004562611823,1.2345797009745394,172508,3.45016,67,1,axial,True,valid,full_contact_original
3.135864612746695e-16,29.526231589174312,871.7983518575551,29.526231589174312,22.291259971652277,208.3479921146956,-207.9147948853044,416.262787,132903043.3456287,2758048.496217,0.27033834931713524,0.15904975614882153,0.8949371054152828,7.056369231726767,9.346622504947756,11.534485748881721,1.3245653958870607,11.534485748881721,11.576924477976984,2207.652495621429,6191.3930990350555,5574.396347583093,6633.764502694033,6736.515159006992,7047287.980752096,11528.320413355777,10130335124455.53,132902171.5529955,-0.042672620034313664,1.9342554167615622,4469149398440.707,0.44116501019317544,4884047409329.623,0.48212101073922997,777120811554.1377,0.07671225107628463,14392446.552902173,1.4207275846341479e-06,3112684.506525218,3.072637250677839e-07,12808734.751119362,0.09637653456745061,54800950.48570707,0.41233781489255533,45093987.61666541,0.33929988720720006,20199370.49213676,1.5769996712884953,1.2438431020883316,152447,3.04894,67,2,axial,True,valid,full_contact_original
-7.062631309986602e-17,18.9644597525472,359.65073370598253,18.9644597525472,11.438348015317795,149.61551145842137,-135.97686554157863,285.592377,111998834.98338002,2873120.2328560003,0.26573091978716096,0.12122728768400824,4.599586669317154,7.889257770093766,13.080167805530044,19.31588503979052,1.657971914051668,19.31588503979052,11.979042045336318,5531.4537105423715,6232.580177281113,5553.289875084294,6506.312256978912,6720.9923691990325,6326682.760594135,10582.916218443177,17438778601095.81,111998115.68658762,-0.038383174902092455,2.2923676635960666,6461751163133.004,0.3705392052357935,9803221402053.146,0.5621506887780051,1173761703681.8708,0.06730756382262428,35465741.03860842,2.0337284995624543e-06,8866469.492482925,5.084340879197685e-07,10495722.051440481,0.093712778824869,46571256.86338198,0.4158191187461275,41626812.62790679,0.37167183599797277,13305043.440650648,1.2676634704540983,1.207687297988607,311410,6.2282,67,3,axial,True,valid,full_contact_original
5.656173562936218e-16,28.51305985720307,812.9945824204452,28.51305985720307,21.77574120012597,203.73730030076482,-165.77515069923518,369.512451,89823706.4387229,1889921.290679,0.258734296368705,0.039218754124989,0.5922114692550617,7.145402889802051,9.356159151063794,11.504865723963212,1.3093956065677719,11.504865723963212,11.265741170989587,2074.4897497397837,6025.81925080354,5470.878399782776,6372.054622290356,6591.72092481403,7140287.107276611,9477.494049140776,4962086102941.149,89822893.45149882,-0.12514406309732937,2.217969969726936,2123156257987.5708,0.4278757389415561,2547498849142.8164,0.5133927135268475,291422752374.0583,0.058729886247101785,6737765.8603248205,1.3578494448798827e-06,1505670.844030919,3.03435049855034e-07,8090162.454380786,0.09006711897264943,36194294.76168857,0.40294813247747785,31701400.16240423,0.35292910323212645,13837849.060249249,1.7104537935151247,1.238791761954606,110485,2.2097,67,4,axial,True,valid,full_contact_original
-6.261856004715551e-16,27.48780760288125,755.5795668130163,27.48780760288125,20.22891510663156,137.00947439044947,-164.52652160955054,301.535996,89920768.66685025,1966074.2575729997,0.273418593707986,6.171909846714272e-05,1.1121135411079273,5.9854363063971325,8.133235061904351,10.220106011859171,1.358837459052299,10.220106011859171,11.296241578065217,1998.5883420581636,6275.018280835573,5657.975447235082,6453.129217635976,6812.059773437071,7028303.932058895,9482.616363305664,5350690379136.592,89920013.09363233,-0.19404541008926446,2.2026070005683582,2023061948448.984,0.37809362999909424,2928831599489.499,0.5473745240258336,398787344692.0499,0.07453007302515602,7381385.215808125,1.379520153995383e-06,2105120.843090462,3.93429762129154e-07,8859006.86084453,0.09852014158894146,37995105.624137335,0.42253982241751514,30774266.136583477,0.3422375786243539,12292390.04528483,1.3875584744849148,1.2313210518652316,119009,2.38018,67,5,axial,True,valid,full_contact_original
3.6599795126241727e-16,25.020557865462738,626.0283158989694,25.020557865462738,18.214319497331616,159.94040946014073,-181.55067953985926,341.491089,73213385.51606856,1832382.1324160001,0.285263535930499,-0.08337591574908844,1.5884987336186889,7.25606041704036,9.967469801243267,12.57263562215326,1.3736751388997464,12.57263562215326,11.269487375988815,4825.607743546331,6633.403917054308,7124.900597696431,6736.656909058036,7222.0028142992915,8155277.122955473,8556.445494076706,4281116111359.3477,73212759.49310556,-0.4629157399160183,2.23718136016646,1493328128268.4038,0.34881747876589114,2340432706516.995,0.5466875099012105,447336057061.3597,0.10449052196328325,14990196.28416928,3.5014692183645462e-06,4229316.305446871,9.87900396867295e-07,8628487.521395685,0.11785396154780946,33596874.74552019,0.45888978509464673,20643921.93630594,0.28196922995420176,10344101.312846676,1.1988313464204308,1.2429125189882824,116949,2.33898,67,6,axial,True,valid,full_contact_original
